varName,varShortName,varFullDefinition
ctuniq,,"Unique identifier for each census tract, concatenation of borough code (character) with census tract number (US Census 2000). We created this to avoid duplicate census tract numbers (census tracts are numbered within boroughs/counties)."
boroCT2000,,Also a unique identifier for census tract; concatentation of borough code with census tract number (the only difference from 'ctuniq' is the borough code here is numeric).
ctrdlong,,Longitude for geographic coordinates of census tract centroid
ctrlat,,Latitude for geographic coordinates of census tract centroid
popdens,Population density,Population density: residents per square kilometer (based on 2000 Census)
povrate,Poverty rate,Poverty rate: proportion at or below federal poverty line (2000 Census)
unemp,Unemployment rate,Unemployment rate: proportion of eligible workforce unemployed (2000 Census)
busdens,Bus stop density,Bus stop density: number of bus stops per square kilometer (from NYC MTA data)
subdens,Subway stop density,Subway stop density: number of subway stops/stations per square kilometer (from NYC MTA data)
subacc,Subway access,Subway access: binary variable derived from 'subdens' indicating whether or not there is a subway station within the census tract (1=yes; 0=no)
intdens,Intersection density,"Intersection density: number of intersections per square kilometer (derived from NYC Dept of City Planning Data, DCPLION)"
landind,Land use index,"Land use index: represents the mix of residential and commercial land use at tax lot level, aggregated to census tract level. Ranges from 0 to 1, where '0' indicates completely homogeneous (e.g. all tax lots in the census tract are either all residential or all commercial), and '1' indicates an even mix of commerical and residential. (Derived from NYC Dept of City Planning Data, PLUTO)"
nonres,Tax lots for non-resid use,"Proportion of tax lots designated for nonresidential use: A different way of looking at land use mix, since the land use index ('landinx') proved difficult to interpret in statistical models. (Derived from NYC Dept of City Planning Data, PLUTO)"
resid,Tax lots for resid use,"Proportion of tax lots designated for residential use: A different way of looking at land use mix, since the land use index ('landinx') proved difficult to interpret in statistical models. (Derived from NYC Dept of City Planning Data, PLUTO)"
ptrans,Working resid pub. trans.,Proportion of working residents who use public transportation to get to and from work (US Census)
pwalk,Working resid pub. walk,Proportion of working residents who walk to get to and from work (US Census)
propoa,Resid over 65,Proportion of residents who are older adults (over 65). (US Census)
propnonw,Resid nonwhite,Proportion of residents who are nonwhite (US Census). (More detailed indicators of neighborhood demographics are available - there are many different ways to look at neighborhood racial composition.)
borocodenum,,"Borough code number, used to create the unique census tract identifiers described above. See above comment for code number crosswalk"
